company_id,company_name
319,"SUTTELL, HAMMER & WHITE, P.S"
320,"SPRING OAKS CAPITAL, LLC"
321,"FIRST NIAGARA FINANCIAL GROUP, INC."
322,"DIVERSIFIED CONSULTANTS, INC."
323,"SETERUS, INC."
324,REGIONAL MANAGEMENT CORPORATION
325,WSFS FINANCIAL CORPORATION
326,"LENTEGRITY MANAGEMENT, LLC"
327,"GURSTEL LAW FIRM, P.C."
328,"ROWLAND AVENUE MANAGEMENT, INC. A/KA COLUMBIA DEBT RECOVERY, LLC D/B/A GENESIS"
329,DATAMAX CORPORATION
330,"URS HOLDING, LLC"
331,"LAKEVIEW LOAN SERVICING, LLC"
332,FISERV FINXACT CORE
333,"ONEMAIN FINANCIAL HOLDINGS, LLC."
334,"DOMINION LAW ASSOCIATES, P.L.L.C."
335,"EBA,LLC"
336,"EGL US, LLC"
337,SN SERVICING CORPORATION
338,"ARVEST BANK GROUP, INC."
339,MUTUAL MANAGEMENT SERVICES LLC
340,INFORMATIVE RESEARCH
341,AMERISAVE MORTGAGE CORPORATION
342,"BARRETT FINANCIAL GROUP, L.L.C."
343,FUEL CAPITAL GROUP
344,GUIDIVILLE INDIAN RANCHERIA
345,COMMERCIAL RECOVERY SYSTEMS
346,"SUNBIT, INC."
347,CONTRACT CALLERS INC
348,"PRESSLER & PRESSLER, LLP"
349,"GLOBAL EQUITY FINANCE, INC."
350,"ALLIANCE CAS, LLC"
351,"ALDOUS & ASSOCIATES, PLLC"
352,STATEWIDE CREDIT SERVICES CORP.
353,"COMMUNITY LOAN SERVICING, LLC (FORMERLY KNOWN AS BAYVIEW LOAN SERVICING, LLC)"
354,"RUBIN & ROTHMAN, LLC"
355,"QUICKCLICK LOANS OF ILLINOIS, LLC"
356,CROSSCOUNTRY MORTGAGE LLC
357,"CREDIT KARMA, LLC"
358,VOLUNTEER MORTGAGE LOAN SERVICING
359,GUARANTEED RATE INC.
360,"BYRIDER FRANCHISING, LLC"
361,"BRANCH MESSENGER, INC."
362,"ULRS, INC."
363,FIRST HOME MORTGAGE CORPORATION
364,"CIT BANK, NATIONAL ASSOCIATION"
365,LANIER COLLECTIONS AGENCY AND SERVICES INC
366,"MERCHANTS ADJUSTMENT SERVICE, INC."
367,TRANSFORM CREDIT INC.
368,TAPTAP SEND INC.
369,"ALLIED INTERNATIONAL CREDIT CORP., (US)"
370,"CMG FINANCIAL SERVICES, INC."
371,"OVERTON, RUSSELL, DOERR AND DONOVAN, LLP"
372,"MAS FINANCIAL SERVICES, INC."
373,FACTUAL DATA CORP.
374,"UNITED SHORE FINANCIAL SERVICES, LLC"
375,SQUARETWO FINANCIAL CORPORATION
376,"CLGF HOLDCO 1, LLC"
377,"AVANT HOLDING COMPANY, INC."
378,UMPQUA HOLDINGS CORPORATION
